jelly,5.66,(1.44),3.70,(2.29),4.53,(1.77),3
jewel,7.00,(1.72),5.38,(2.54),5.59,(2.19),1
joke,8.10,(1.36),6.74,(1.84),6.15,(1.86),22
jolly,7.41,(1.92),5.57,(2.80),6.39,(1.72),4
journal,5.14,(1.49),4.05,(1.96),5.26,(1.42),42
joy,8.60,(0.71),7.22,(2.13),6.28,(2.15),40
joyful,8.22,(1.22),5.98,(2.54),6.60,(1.80),1
jug,5.24,(1.65),3.88,(2.15),5.05,(1.62),6
justice,7.78,(1.35),5.47,(2.54),6.47,(2.26),114
kerchief,5.11,(1.33),3.43,(2.08),5.25,(1.28),1
kerosene,4.80,(1.59),4.34,(2.51),4.63,(1.99),6
ketchup,5.60,(1.35),4.09,(2.08),5.29,(1.81),1
lively,7.20,(1.97),5.53,(2.90),6.09,(1.95),26
locker,5.19,(1.31),3.38,(2.13),5.36,(1.87),9
loneliness,1.61,(1.02),4.56,(2.97),2.51,(2.27),9
lonely,2.17,(1.76),4.51,(2.68),2.95,(2.12),25
loser,2.25,(1.48),4.95,(2.57),3.02,(2.17),1
lost,2.82,(1.83),5.82,(2.62),2.86,(1.64),173
lottery,6.57,(2.04),5.36,(2.45),4.81,(2.11),1
louse,2.81,(1.92),4.98,(2.03),3.57,(2.26),3
love,8.72,(0.70),6.44,(3.35),7.11,(2.56),232
loved,8.64,(0.71),6.38,(2.68),6.62,(2.53),56
loyal,7.55,(1.90),5.16,(2.42),6.91,(2.23),18
lucky,8.17,(1.06),6.53,(2.34),6.05,(2.25),21
lump,4.16,(2.34),4.80,(2.82),4.32,(2.18),7
luscious,7.50,(1.08),5.34,(2.51),5.68,(1.84),2
lust,7.12,(1.62),6.88,(1.85),5.49,(2.27),5
luxury,7.88,(1.49),4.75,(2.91),6.40,(2.45),21
machine,5.09,(1.67),3.82,(2.40),5.23,(2.06),103
mad,2.44,(1.72),6.76,(2.26),5.86,(2.20),39
madman,3.91,(2.49),5.56,(2.78),4.79,(2.55),2
maggot,2.06,(1.47),5.28,(2.96),4.03,(2.09),2
magical,7.46,(1.64),5.95,(2.36),5.73,(2.19),12
mail,6.88,(1.74),5.63,(2.36),5.67,(1.79),47
malaria,2.40,(1.38),4.40,(2.54),3.22,(1.90),3
malice,2.69,(1.84),5.86,(2.75),4.74,(2.72),2
man,6.73,(1.70),5.24,(2.31),5.53,(2.23),1207
mangle,3.90,(2.01),5.44,(2.10),4.61,(1.84),.
maniac,3.76,(2.00),5.39,(2.46),4.22,(2.07),4
manner,5.64,(1.34),4.56,(1.78),5.05,(1.83),124
mantel,4.93,(1.40),3.27,(2.23),4.95,(1.61),3
manure,3.10,(1.74),4.17,(2.09),4.67,(1.36),6
market,5.66,(1.02),4.12,(1.83),5.27,(1.40),155
massacre,2.28,(1.74),5.33,(2.63),3.50,(2.26),1
masterful,7.09,(1.78),5.20,(2.85),7.18,(2.56),2
masturbate,5.45,(2.02),5.67,(2.18),5.63,(2.25),.
material,5.26,(1.29),4.05,(2.34),5.12,(1.45),174
measles,2.74,(1.97),5.06,(2.44),4.13,(2.16),2
medicine,5.67,(2.06),4.40,(2.36),4.70,(1.91),30
meek,3.87,(1.69),3.80,(2.13),3.67,(2.23),10
melody,7.07,(1.79),4.98,(2.52),5.46,(1.78),21
mutilate,1.82,(1.45),6.41,(2.94),3.41,(2.71),3
mystic,6.00,(2.21),4.84,(2.57),5.52,(1.93),3
naked,6.34,(2.42),5.80,(2.80),6.00,(2.05),32
name,5.55,(2.24),4.25,(2.47),5.16,(2.08),294
narcotic,4.29,(2.30),4.93,(2.57),4.44,(2.43),2
nasty,3.58,(2.38),4.89,(2.50),5.00,(2.17),5
natural,6.59,(1.57),4.09,(2.37),5.57,(1.69),156
nature,7.65,(1.37),4.37,(2.51),4.95,(2.72),191
nectar,6.90,(1.53),3.89,(2.48),4.54,(2.06),3
needle,3.82,(1.73),5.36,(2.89),3.95,(2.17),15
neglect,2.63,(1.64),4.83,(2.31),3.85,(2.29),12
nervous,3.29,(1.47),6.59,(2.07),3.56,(1.73),24
